latitude;longitude;stationname;one
64.708  ;22.067   ; ;1
62.586  ;19.970   ; ;1
61.083  ;19.583   ; ;1
60.19	;19.145   ; ;1
64.3	;22.35    ; ;1
62.1	;18.55    ; ;1
58.583  ;18.233   ;LandsortDeepBY31 ;1
57.305  ;20.080   ; ;1
58.0    ;19.9     ; ;1
57.07   ;19.83    ; ;1
56.633  ;19.583   ; ;1
58.0    ;18.0     ; ;1
57.116  ;17.666   ; ;1
57.615	;20.163   ; ;1
55.55   ;18.40    ;SEGotlandBasin ;1
56.347	;19.378   ; ;1
56.084	;19.166   ; ;1
58.443  ;20.333   ; ;1
55.214  ;17.069   ; ;1
58.883	;20.32    ; ;1
57.717  ;17.364   ; ;1
55.841	;18.868   ; ;1
55.632  ;18.598   ; ;1
58.785  ;19.1     ; ;1
57.333  ;20.05    ;GotlandDeepBY15 ;1
55.327  ;18.25    ; ;1
57.397	;19.436   ; ;1
54.833	;19.333   ; ;1
59.033  ;21.083   ; ;1
57.149	;19.996   ; ;1
59.85	;24.833   ;GulfFinlandLL7 ;1
59.483  ;22.9     ; ;1
57.615	;23.614   ; ;1
59.582	;23.63    ; ;1
60.067	;26.35    ; ;1
59.7	;24.033   ; ;1
57.3    ;23.85    ; ;1
57.401	;23.482   ; ;1
57.167	;23.666   ; ;1
57.35	;24.083   ; ;1
57.168	;23.662   ; ;1
57.6	;24.116   ; ;1
59.584	;23.298   ; ;1
59.916	;25.6     ; ;1
60.25	;27.25    ; ;1
64.837	;23.167   ; ;1
64.8	;23.483   ; ;1
65.392	;23.5     ; ;1
65	;23.25    ; ;1
59.784	;19.932   ; ;1
60.542	;18.933   ; ;1
57.987	;20.108   ; ;1
57.992	;20.767   ; ;1
57.983	;21.084   ; ;1
57.984	;21.285   ; ;1
56.955	;20.06    ; ;1
56.958	;20.41    ; ;1
56.936	;18.826   ; ;1
56.942	;19.367   ; ;1
62.133	;17.867   ; ;1
61.983	;19.167   ; ;1
61.983	;20.067   ; ;1
61.767	;20.534   ; ;1
54.7    ;12.7     ; ;1
55.867	;12.75    ;LandskronaW ;1
55.508	;10.863   ; ;1
54.998	;10.162   ; ;1
56.132	;11.16    ; ;1
55.675	;10.092   ; ;1
55.535	;12.713   ; ;1
56.857	;10.792   ; ;1
56.667	;12.117   ;AnholtE ;1
54.314	;11.551   ; ;1
54.724	;12.781   ; ;1
57.192	;11.667   ; ;1
54.468	;12.218   ; ;1
54.658	;10.769   ; ;1
54.552	;11.318   ; ;1
58.48	;10.3     ; ;1
58.267	;10.725   ; ;1
59.37	;10.6     ; ;1
54.694	;12.699   ; ;1
54.701	;12.694   ; ;1
59.183	;10.7     ; ;1
57.867	;11.3     ; ;1
55.603	;10.533   ; ;1
55.976	;12.62    ; ;1
56.157	;12.312   ; ;1
56.61	;10.443   ; ;1
55.999	;11.86    ; ;1
56.073	;12.055   ; ;1
55.937	;12.563   ; ;1
58.267	;10.133   ; ;1
54.925  ;13.5     ; ;1
55	;14.083   ; ;1
55.466	;14.719   ; ;1
55.25	;15.983   ; ;1
55.383	;15.336   ; ;1
55.301	;15.796   ; ;1
54.61	;14.039   ; ;1
54.205	;13.906   ; ;1
54.01	;14.2     ; ;1